date,block_number,tx_hash,victim_dex,token_pair,victim_amount_usd,sandwich_profit_usd,profit_pct,gas_cost_eth,bot_address,attack_type,mempool_delay_ms
2026-07-01,18000000,0x0000000000000000000000000000000000000000000000000000000000000000,SushiSwap,WETH/USDC,97623,6268,1.36,0.000243,0x0000000809f665d98b84c2a8f0faf41d1ddccf2d,frontrun-only,755
2026-07-02,18000050,0x0000000000000000000000000000000000000000000000000000000000000001,BaseSwap,WETH/cbETH,314852,6686,3.9,0.003383,0x0000000cc7bf0a02e000a4407239bc5a5bb88633,frontrun-only,212
2026-07-03,18000100,0x0000000000000000000000000000000000000000000000000000000000000002,UniV3,WETH/USDC,313605,1600,1.57,0.001646,0x0000000ce88691a85ba6ea31ff7a1c54f1702cde,front-back,402
2026-07-04,18000150,0x0000000000000000000000000000000000000000000000000000000000000003,SushiSwap,WETH/USDC,255232,7850,4.61,0.001024,0x00000004b71daafcc8be49181ea859324223053b,front-back,739
2026-07-05,18000200,0x0000000000000000000000000000000000000000000000000000000000000004,SushiSwap,WETH/USDC,392241,11741,3.57,0.004238,0x00000012c4eb7147e7dc26c3b387ee3bcfbe5628,frontrun-only,514
2026-07-06,18000250,0x0000000000000000000000000000000000000000000000000000000000000005,Aerodrome,cbBTC/USDC,258467,7514,4.97,0.003709,0x00000008377a01db946e90651c399f4ed6e3facf,front-back,278
2026-07-07,18000300,0x0000000000000000000000000000000000000000000000000000000000000006,UniV3,AERO/WETH,192001,9282,1.24,0.000646,0x00000016299ba06e5fce8bf17c27b2d05712caa6,frontrun-only,110
2026-07-08,18000350,0x0000000000000000000000000000000000000000000000000000000000000007,SushiSwap,WETH/USDC,359349,10258,2.53,0.000799,0x00000003c637eb794576ecb503dcd854eeb90725,frontrun-only,715
2026-07-09,18000400,0x0000000000000000000000000000000000000000000000000000000000000008,BaseSwap,WETH/USDC,147632,1269,0.33,0.001442,0x000000099df19a2729a45c49e57693b3b030391d,front-back,336
2026-07-10,18000450,0x0000000000000000000000000000000000000000000000000000000000000009,SushiSwap,AERO/WETH,39013,8442,3.83,0.003963,0x000000056d27b26955768865eb42740654748ea2,backrun-only,552
2026-07-11,18000500,0x000000000000000000000000000000000000000000000000000000000000000a,BaseSwap,WETH/cbETH,216333,5000,2.87,0.00472,0x00000015d74daca6cf6b63c574f540ab71874113,front-back,335
2026-07-12,18000550,0x000000000000000000000000000000000000000000000000000000000000000b,BaseSwap,cbBTC/USDC,23174,11540,1.4,0.00249,0x0000001959e6c019667f2182a4f4e950811f16c8,front-back,513
2026-07-13,18000600,0x000000000000000000000000000000000000000000000000000000000000000c,BaseSwap,cbBTC/USDC,126503,9834,2.02,0.000653,0x000000076f6dda967313f8efb2b4c3a5f79eff02,front-back,130
2026-07-14,18000650,0x000000000000000000000000000000000000000000000000000000000000000d,SushiSwap,WETH/cbETH,205326,9473,4.82,0.003738,0x0000000a289050aafc347cffe1589e55afcda5e0,front-back,758
2026-07-15,18000700,0x000000000000000000000000000000000000000000000000000000000000000e,Aerodrome,WETH/USDC,179984,5149,0.36,0.003516,0x00000014206ece67b3e6e0678082ea9d9b98fcfa,front-back,129
2026-07-16,18000750,0x000000000000000000000000000000000000000000000000000000000000000f,UniV3,WETH/USDC,210193,8791,2.66,0.003227,0x000000169e1b2dadb2a7fdc001282bced0087459,frontrun-only,118
2026-07-17,18000800,0x0000000000000000000000000000000000000000000000000000000000000010,BaseSwap,AERO/WETH,347299,10230,4.14,0.00018,0x000000032231007ba7415bac9406e399cbb1bfd7,front-back,127
2026-07-18,18000850,0x0000000000000000000000000000000000000000000000000000000000000011,Aerodrome,WETH/USDC,454712,14575,4.65,0.000873,0x000000152fe0024de92bf2dc32ec6a4f60bb269d,backrun-only,202
2026-07-19,18000900,0x0000000000000000000000000000000000000000000000000000000000000012,BaseSwap,AERO/WETH,410322,6678,3.91,0.000901,0x0000000c1e118b85043099458b6ca0c2f2a55c0c,backrun-only,549
2026-07-20,18000950,0x0000000000000000000000000000000000000000000000000000000000000013,SushiSwap,AERO/WETH,418661,4914,3.54,0.004402,0x000000116b535af9ea032b9a5df066df7f0f5111,front-back,756
2026-07-21,18001000,0x0000000000000000000000000000000000000000000000000000000000000014,BaseSwap,cbBTC/USDC,136999,13760,1.36,0.004476,0x0000000dfaeaafe1e190eed88bfaceb8c65c50e1,front-back,484
2026-07-22,18001050,0x0000000000000000000000000000000000000000000000000000000000000015,SushiSwap,AERO/WETH,22302,4522,2.83,0.003539,0x00000014bdc25afcc43e4129608f41ca18eb0389,backrun-only,69
2026-07-23,18001100,0x0000000000000000000000000000000000000000000000000000000000000016,Aerodrome,cbBTC/USDC,353437,11123,1.82,0.003581,0x0000001261e3cdf8e03817284c46c841e0208a71,front-back,636
2026-07-24,18001150,0x0000000000000000000000000000000000000000000000000000000000000017,UniV3,AERO/WETH,93139,10738,1.35,0.002868,0x0000000ee1a336aa8ba8b9490a36e201d5927f34,front-back,111
2026-07-25,18001200,0x0000000000000000000000000000000000000000000000000000000000000018,SushiSwap,WETH/USDC,499720,11397,0.64,0.001977,0x000000054beda0a1901d5784e7487de43b184397,front-back,105
